dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,musiq,False,5,0.061197280883789,18.708908081054688
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,musiq,False,1,0.0407893657684326,46.56315612792969
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,musiq,False,3,0.040541648864746,20.050350189208984
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,musiq,False,7,0.0407648086547851,21.53858184814453
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,musiq,False,7,0.040961742401123,20.455467224121094
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,musiq,False,1,0.040654182434082,35.97331237792969
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,musiq,False,10,0.0406455993652343,18.26575088500977
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,musiq,False,5,0.0406398773193359,18.652462005615234
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,musiq,False,3,0.0368897914886474,22.77577018737793
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,musiq,False,3,0.0404577255249023,22.54279518127441
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,musiq,False,7,0.0405833721160888,19.85660552978516
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,musiq,False,10,0.0405008792877197,19.79153060913086
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,musiq,False,5,0.0405671596527099,21.01961898803711
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,musiq,False,1,0.0407180786132812,42.34882354736328
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,musiq,False,7,0.0405066013336181,18.91905975341797
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,musiq,False,10,0.0406019687652587,16.411945343017578
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,musiq,False,15,0.0409843921661376,16.673133850097656
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,musiq,False,10,0.0407238006591796,16.97905731201172
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,musiq,False,1,0.0408625602722168,28.577808380126957
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,musiq,False,7,0.0407147407531738,18.64026260375977
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,musiq,False,15,0.0404071807861328,20.076393127441406
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,musiq,False,7,0.0243146419525146,15.680421829223633
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,musiq,False,5,0.0500464439392089,18.779224395751957
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,musiq,False,0,0.040513277053833,43.81420135498047
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,musiq,False,7,0.0406639575958251,17.815689086914062
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,musiq,False,10,0.0407369136810302,20.632266998291016
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,musiq,False,5,0.0404891967773437,17.92595672607422
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,musiq,False,1,0.0405983924865722,49.16228485107422
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,musiq,False,7,0.0406835079193115,18.89959526062012
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,musiq,False,10,0.0407032966613769,18.05971336364746
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,musiq,False,3,0.0407726764678955,22.01631736755371
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,musiq,False,15,0.0409541130065918,17.498929977416992
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,musiq,False,3,0.0404322147369384,23.51348876953125
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,musiq,False,0,0.0402822494506835,54.27607727050781
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,musiq,False,10,0.0207302570343017,17.340850830078125
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,musiq,False,0,0.0496768951416015,40.165809631347656
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,musiq,False,1,0.0405881404876709,62.25900268554688
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,musiq,False,7,0.0407202243804931,22.27511405944824
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,musiq,False,15,0.0404896736145019,18.27589225769043
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,musiq,False,10,0.0406160354614257,17.269954681396484
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,musiq,False,15,0.0406990051269531,18.264278411865234
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,musiq,False,7,0.0405390262603759,19.79551696777344
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,musiq,False,1,0.0407953262329101,50.03914260864258
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,musiq,False,1,0.0408966541290283,46.132789611816406
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,musiq,False,5,0.0407149791717529,18.12494659423828
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,musiq,False,7,0.0406055450439453,19.62107276916504
deblurred_pmp3_lambda0,0053_lp_dnn_0_knife_10_n03041632_22570,musiq,False,0,0.0405619144439697,51.850921630859375
deblurred_pmp3_lambda0,0054_lp_dnn_0_bear_10_n02132136_7586,musiq,False,0,0.0210652351379394,46.64206314086914
deblurred_pmp3_lambda0,0055_lp_dnn_5_clock_10_n04548280_9144,musiq,False,5,0.0497334003448486,21.30614471435547
deblurred_pmp3_lambda0,0056_lp_dnn_0_bottle_10_n04591713_2680,musiq,False,0,0.0406496524810791,52.49031448364258
deblurred_pmp3_lambda0,0057_lp_dnn_3_cat_10_n02123045_1596,musiq,False,3,0.0404512882232666,21.660308837890625
deblurred_pmp3_lambda0,0058_lp_dnn_10_cat_10_n02123597_19450,musiq,False,10,0.0406715869903564,16.632797241210938
deblurred_pmp3_lambda0,0059_lp_dnn_15_chair_10_n03376595_3462,musiq,False,15,0.0406913757324218,17.23311996459961
deblurred_pmp3_lambda0,0060_lp_dnn_3_bottle_10_n04591713_3683,musiq,False,3,0.0405304431915283,27.903297424316406
deblurred_pmp3_lambda0,0061_lp_dnn_7_clock_10_n03196217_4309,musiq,False,7,0.0406985282897949,24.16156768798828
deblurred_pmp3_lambda0,0062_lp_dnn_15_bear_10_n02134084_4923,musiq,False,15,0.0408229827880859,17.889854431152344
