dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,nima-vgg16-ava,False,5,0.004515171051025391,4.867998123168945
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,nima-vgg16-ava,False,1,0.004442930221557617,4.306983470916748
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,nima-vgg16-ava,False,3,0.0041658878326416016,4.476188659667969
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,nima-vgg16-ava,False,7,0.004174947738647461,5.387286186218262
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,nima-vgg16-ava,False,7,0.0040934085845947266,4.446643829345703
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,nima-vgg16-ava,False,1,0.004291534423828125,4.657830238342285
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,nima-vgg16-ava,False,10,0.004072427749633789,4.309103488922119
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,nima-vgg16-ava,False,5,0.004067420959472656,4.727561950683594
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,nima-vgg16-ava,False,3,0.0041577816009521484,4.180706977844238
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,nima-vgg16-ava,False,3,0.0040302276611328125,4.891601085662842
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,nima-vgg16-ava,False,7,0.003918647766113281,4.692757606506348
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,nima-vgg16-ava,False,10,0.003924369812011719,4.399152755737305
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,nima-vgg16-ava,False,5,0.003973484039306641,4.992656230926514
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,nima-vgg16-ava,False,1,0.004134416580200195,4.553614139556885
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,nima-vgg16-ava,False,7,0.003953456878662109,5.005339622497559
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,nima-vgg16-ava,False,10,0.0038909912109375,4.31532096862793
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,nima-vgg16-ava,False,15,0.003886699676513672,4.005401134490967
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,nima-vgg16-ava,False,10,0.003942728042602539,5.0042724609375
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,nima-vgg16-ava,False,1,0.004048585891723633,3.6194159984588623
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,nima-vgg16-ava,False,7,0.0039365291595458984,4.766191482543945
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,nima-vgg16-ava,False,15,0.0037393569946289062,3.227673053741455
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,nima-vgg16-ava,False,7,0.00384521484375,4.596078872680664
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,nima-vgg16-ava,False,5,0.00397491455078125,4.862102508544922
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,nima-vgg16-ava,False,0,0.004484891891479492,4.695298194885254
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,nima-vgg16-ava,False,7,0.004015445709228516,5.174079418182373
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,nima-vgg16-ava,False,10,0.0038652420043945312,4.3032660484313965
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,nima-vgg16-ava,False,5,0.003885030746459961,3.8658549785614014
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,nima-vgg16-ava,False,1,0.00414729118347168,4.2978386878967285
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,nima-vgg16-ava,False,7,0.003928422927856445,4.488735198974609
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,nima-vgg16-ava,False,10,0.0038995742797851562,4.65329647064209
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,nima-vgg16-ava,False,3,0.003915548324584961,4.443406105041504
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,nima-vgg16-ava,False,15,0.0038771629333496094,4.454777717590332
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,nima-vgg16-ava,False,3,0.00397181510925293,4.513534069061279
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,nima-vgg16-ava,False,0,0.0044209957122802734,5.329422950744629
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,nima-vgg16-ava,False,10,0.003884553909301758,4.104331970214844
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,nima-vgg16-ava,False,0,0.0045163631439208984,3.851623058319092
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,nima-vgg16-ava,False,1,0.003997802734375,5.261945724487305
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,nima-vgg16-ava,False,7,0.0039033889770507812,4.1844162940979
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,nima-vgg16-ava,False,15,0.0038924217224121094,4.609756946563721
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,nima-vgg16-ava,False,10,0.0039217472076416016,4.617212772369385
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,nima-vgg16-ava,False,15,0.0037832260131835938,3.8618011474609375
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,nima-vgg16-ava,False,7,0.0038919448852539062,4.355283737182617
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,nima-vgg16-ava,False,1,0.0039348602294921875,5.650455474853516
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,nima-vgg16-ava,False,1,0.00415802001953125,4.713758945465088
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,nima-vgg16-ava,False,5,0.003971576690673828,4.922909736633301
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,nima-vgg16-ava,False,7,0.003969907760620117,5.161532878875732
deblurred_pmp3_lambda0,0053_lp_dnn_0_knife_10_n03041632_22570,nima-vgg16-ava,False,0,0.004482746124267578,4.200334072113037
deblurred_pmp3_lambda0,0054_lp_dnn_0_bear_10_n02132136_7586,nima-vgg16-ava,False,0,0.004599571228027344,4.600513458251953
