dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,nima,False,5,0.1065785884857177,4.091802597045898
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,nima,False,1,0.0294570922851562,3.508756160736084
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,nima,False,3,0.0299658775329589,4.025012016296387
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,nima,False,7,0.0295734405517578,3.8881678581237793
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,nima,False,7,0.0293881893157959,4.852133274078369
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,nima,False,1,0.0295746326446533,4.194194316864014
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,nima,False,10,0.0308120250701904,4.145504951477051
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,nima,False,5,0.029294729232788,5.024234771728516
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,nima,False,3,0.0292520523071289,3.205753326416016
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,nima,False,3,0.0297706127166748,4.525901317596436
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,nima,False,7,0.02978515625,4.0807647705078125
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,nima,False,10,0.0293846130371093,4.135154724121094
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,nima,False,5,0.0296318531036376,4.0388383865356445
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,nima,False,1,0.030872106552124,4.294867038726807
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,nima,False,7,0.0294835567474365,4.480616092681885
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,nima,False,10,0.029268741607666,3.793130159378052
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,nima,False,15,0.0296783447265625,3.752089500427246
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,nima,False,10,0.0298683643341064,3.613519191741944
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,nima,False,1,0.0294733047485351,3.52455997467041
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,nima,False,7,0.0293021202087402,4.374041557312012
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,nima,False,15,0.0316131114959716,3.0009260177612305
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,nima,False,7,0.0335359573364257,4.116645336151123
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,nima,False,5,0.0293200016021728,3.8841428756713863
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,nima,False,0,0.0295507907867431,3.579351663589477
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,nima,False,7,0.0299396514892578,3.76938533782959
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,nima,False,10,0.0293545722961425,3.4668993949890137
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,nima,False,5,0.029304027557373,3.345424175262451
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,nima,False,1,0.0310950279235839,3.867464780807495
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,nima,False,7,0.0338172912597656,3.984875202178955
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,nima,False,10,0.0292236804962158,3.643683910369873
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,nima,False,3,0.0298476219177246,3.447960376739502
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,nima,False,15,0.029801607131958,3.3121354579925537
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,nima,False,3,0.0320093631744384,4.296603202819824
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,nima,False,0,0.0292978286743164,4.092637062072754
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,nima,False,10,0.0302448272705078,3.330016851425171
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,nima,False,0,0.0315611362457275,3.674461841583252
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,nima,False,1,0.02937912940979,4.192089557647705
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,nima,False,7,0.0293972492218017,3.818428754806519
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,nima,False,15,0.0300145149230957,3.623664140701294
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,nima,False,10,0.0294551849365234,4.288280487060547
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,nima,False,15,0.0293774604797363,3.2303099632263184
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,nima,False,7,0.0268709659576416,4.2333173751831055
