dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,niqe,True,5,0.02519989013671875,11.168271988663621
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,niqe,True,1,0.025633573532104492,4.468274195539733
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,niqe,True,3,0.025558948516845703,9.74915160572652
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,niqe,True,7,0.025639057159423828,11.160881646024086
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,niqe,True,7,0.024388790130615234,11.138863969434393
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,niqe,True,1,0.025843143463134766,5.271985462923909
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,niqe,True,10,0.022986173629760742,12.33177458545702
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,niqe,True,5,0.022199153900146484,10.575566325624594
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,niqe,True,3,0.022715091705322266,12.915980473178799
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,niqe,True,3,0.023182153701782227,10.334880724819303
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,niqe,True,7,0.022430419921875,15.245445720325986
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,niqe,True,10,0.022916793823242188,13.342702254450403
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,niqe,True,5,0.023410797119140625,11.21960408129169
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,niqe,True,1,0.023372173309326172,4.62148084161188
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,niqe,True,7,0.02311420440673828,12.133732398485556
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,niqe,True,10,0.022607088088989258,12.644999982729122
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,niqe,True,15,0.022502899169921875,14.172529757630672
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,niqe,True,10,0.02231454849243164,13.060383060568062
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,niqe,True,1,0.023418664932250977,8.470615819521987
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,niqe,True,7,0.023462295532226562,11.895985220726912
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,niqe,True,15,0.02213907241821289,15.097211093455897
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,niqe,True,7,0.023099660873413086,13.419859292118531
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,niqe,True,5,0.023062467575073242,9.784628377351837
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,niqe,True,0,0.023567676544189453,3.747263713962531
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,niqe,True,7,0.02286052703857422,13.371387231516733
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,niqe,True,10,0.022597789764404297,12.887048218881793
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,niqe,True,5,0.022550344467163086,11.997557756844728
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,niqe,True,1,0.0224916934967041,5.272347974922111
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,niqe,True,7,0.023097753524780273,12.792626395080564
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,niqe,True,10,0.02316880226135254,12.160447734079646
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,niqe,True,3,0.022866010665893555,11.532980051472284
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,niqe,True,15,0.022753238677978516,14.50829069599788
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,niqe,True,3,0.022768259048461914,10.880306698744812
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,niqe,True,0,0.023006200790405273,3.385239258874911
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,niqe,True,10,0.022803068161010742,11.954319621727016
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,niqe,True,0,0.02350020408630371,3.4896375563920516
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,niqe,True,1,0.023296117782592773,8.645078346000613
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,niqe,True,7,0.022258996963500977,12.513085291868665
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,niqe,True,15,0.02276921272277832,14.475336644322352
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,niqe,True,10,0.02349114418029785,12.434005532304885
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,niqe,True,15,0.02318549156188965,16.194850302258722
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,niqe,True,7,0.023029088973999023,13.220649331868199
