dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,nrqm,False,5,1.611912488937378,3.162902355194092
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,nrqm,False,1,1.6276774406433105,7.928314208984375
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,nrqm,False,3,1.6327812671661377,3.5549838542938232
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,nrqm,False,7,1.6226527690887451,3.2492785453796387
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,nrqm,False,7,1.616034984588623,2.4325802326202393
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,nrqm,False,1,1.627903938293457,8.317091941833496
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,nrqm,False,10,1.5919671058654785,1.4032410383224487
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,nrqm,False,5,1.599806547164917,1.6668720245361328
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,nrqm,False,3,1.6310205459594727,3.410224437713623
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,nrqm,False,3,1.6456117630004883,4.225109577178955
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,nrqm,False,7,1.6099672317504883,2.885680675506592
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,nrqm,False,10,1.5863890647888184,1.4060014486312866
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,nrqm,False,5,1.6270825862884521,2.867318630218506
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,nrqm,False,1,1.6409485340118408,8.60338020324707
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,nrqm,False,7,1.6189827919006348,2.2847847938537598
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,nrqm,False,10,1.5946276187896729,1.4854047298431396
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,nrqm,False,15,1.5772292613983154,1.7513861656188965
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,nrqm,False,10,1.5900521278381348,1.5189738273620605
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,nrqm,False,1,1.6386115550994873,8.157144546508789
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,nrqm,False,7,1.6011152267456055,2.083320140838623
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,nrqm,False,15,1.5662593841552734,1.7979704141616821
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,nrqm,False,7,1.5970399379730225,1.984816312789917
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,nrqm,False,5,1.6246743202209473,2.5562188625335693
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,nrqm,False,0,1.620856761932373,8.227527618408203
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,nrqm,False,7,1.6181321144104004,2.397578477859497
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,nrqm,False,10,1.5826764106750488,1.7027658224105835
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,nrqm,False,5,1.5946638584136963,1.6402539014816284
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,nrqm,False,1,1.6371331214904785,8.595863342285156
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,nrqm,False,7,1.604522943496704,1.9775835275650024
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,nrqm,False,10,1.5817818641662598,1.4963371753692627
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,nrqm,False,3,1.615769863128662,3.871495246887207
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,nrqm,False,15,1.578279733657837,1.736001968383789
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,nrqm,False,3,1.6262953281402588,3.8303773403167725
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,nrqm,False,0,1.6274898052215576,8.609025955200195
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,nrqm,False,10,1.5870695114135742,1.5047380924224854
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,nrqm,False,0,1.6346793174743652,8.304666519165039
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,nrqm,False,1,1.6089415550231934,5.829607963562012
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,nrqm,False,7,1.6092822551727295,2.104722261428833
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,nrqm,False,15,1.5831525325775146,1.6930702924728394
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,nrqm,False,10,1.5932519435882568,1.3896520137786865
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,nrqm,False,15,1.5693445205688477,1.8372859954833984
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,nrqm,False,7,1.6039984226226807,2.5328736305236816
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,nrqm,False,1,1.607865333557129,6.538127899169922
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,nrqm,False,1,1.6323866844177246,8.989205360412598
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,nrqm,False,5,1.6325187683105469,3.771721601486206
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,nrqm,False,7,1.6165387630462646,2.7967522144317627
deblurred_pmp3_lambda0,0053_lp_dnn_0_knife_10_n03041632_22570,nrqm,False,0,1.6184041500091553,8.884037971496582
deblurred_pmp3_lambda0,0054_lp_dnn_0_bear_10_n02132136_7586,nrqm,False,0,1.6134893894195557,8.904753684997559
deblurred_pmp3_lambda0,0055_lp_dnn_5_clock_10_n04548280_9144,nrqm,False,5,1.6165101528167725,3.135308265686035
deblurred_pmp3_lambda0,0056_lp_dnn_0_bottle_10_n04591713_2680,nrqm,False,0,1.6247978210449219,8.725522994995117
