dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,paq2piq,False,5,0.003782987594604492,50.30408477783203
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,paq2piq,False,1,0.003390789031982422,68.51825714111328
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,paq2piq,False,3,0.0031461715698242188,52.46349334716797
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,paq2piq,False,7,0.0031321048736572266,52.05028533935547
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,paq2piq,False,7,0.0030868053436279297,46.9747314453125
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,paq2piq,False,1,0.003291606903076172,68.0452651977539
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,paq2piq,False,10,0.0030694007873535156,41.87218475341797
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,paq2piq,False,5,0.0030460357666015625,47.388526916503906
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,paq2piq,False,3,0.0031609535217285156,56.68850326538086
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,paq2piq,False,3,0.0031321048736572266,60.13185119628906
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,paq2piq,False,7,0.0030355453491210938,50.61009216308594
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,paq2piq,False,10,0.003034830093383789,43.256378173828125
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,paq2piq,False,5,0.0030927658081054688,45.732364654541016
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,paq2piq,False,1,0.003237485885620117,69.63420867919922
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,paq2piq,False,7,0.0030853748321533203,46.53631591796875
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,paq2piq,False,10,0.0030269622802734375,42.669918060302734
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,paq2piq,False,15,0.003003358840942383,39.44075012207031
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,paq2piq,False,10,0.0030608177185058594,43.157440185546875
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,paq2piq,False,1,0.003194093704223633,69.7366943359375
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,paq2piq,False,7,0.0030660629272460938,43.526432037353516
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,paq2piq,False,15,0.0028662681579589844,47.932830810546875
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,paq2piq,False,7,0.0029959678649902344,46.17683410644531
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,paq2piq,False,5,0.0031020641326904297,47.39391326904297
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,paq2piq,False,0,0.003611326217651367,64.20611572265625
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,paq2piq,False,7,0.0030863285064697266,45.383827209472656
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,paq2piq,False,10,0.002994537353515625,42.718788146972656
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,paq2piq,False,5,0.003059864044189453,52.88391876220703
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,paq2piq,False,1,0.0032701492309570312,68.42180633544922
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,paq2piq,False,7,0.0030443668365478516,45.435096740722656
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,paq2piq,False,10,0.0030336380004882812,46.50516891479492
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,paq2piq,False,3,0.0030279159545898438,61.45869827270508
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,paq2piq,False,15,0.0030884742736816406,41.616275787353516
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,paq2piq,False,3,0.003081798553466797,58.33391571044922
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,paq2piq,False,0,0.003559112548828125,72.2960433959961
