dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,pi,True,5,1.7287862300872805,9.32515802410608
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,pi,True,1,1.6999659538269043,3.498121044733204
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,pi,True,3,1.699681282043457,8.292306829244835
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,pi,True,7,1.6679978370666504,11.77501912269741
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,pi,True,7,1.6722042560577393,9.86066330564746
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,pi,True,1,1.7122080326080322,3.5480170063134957
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,pi,True,10,1.686971664428711,10.14904481786019
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,pi,True,5,1.6946368217468262,10.219461435762277
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,pi,True,3,1.728604793548584,9.136405416000455
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,pi,True,3,1.7457528114318848,8.78470271113652
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,pi,True,7,1.6918964385986328,9.899619354945994
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,pi,True,10,1.6730210781097412,11.160149855032373
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,pi,True,5,1.7166223526000977,9.154346303534805
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,pi,True,1,1.724245548248291,3.014768206146208
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,pi,True,7,1.671682357788086,9.675668651292655
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,pi,True,10,1.6945388317108154,10.674948432075093
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,pi,True,15,1.675220966339111,11.10979810302424
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,pi,True,10,1.6482503414154053,10.19956336587573
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,pi,True,1,1.68243145942688,5.622284268236269
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,pi,True,7,1.681455135345459,10.566767225410816
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,pi,True,15,1.6576886177062988,12.85925955768964
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,pi,True,7,1.635244846343994,10.605052867339666
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,pi,True,5,1.6612663269042969,9.052558309157329
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,pi,True,0,1.6646082401275637,3.2872432457581398
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,pi,True,7,1.647982835769653,10.791828260133933
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,pi,True,10,1.6426126956939695,10.721350101799064
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,pi,True,5,1.634695529937744,9.849994248778389
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,pi,True,1,1.6785783767700195,3.697059765034002
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,pi,True,7,1.6639204025268557,9.50518530713915
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,pi,True,10,1.627570867538452,10.578595991549763
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,pi,True,3,1.6151418685913086,9.21519666021814
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,pi,True,15,1.6235930919647217,10.597547044416013
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,pi,True,3,1.6569337844848633,9.010968174183464
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,pi,True,0,1.6588761806488037,2.3363692876670137
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,pi,True,10,1.6294567584991455,10.243547105209377
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,pi,True,0,1.6489906311035156,2.601357213258101
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,pi,True,1,1.646275281906128,7.106787391228169
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,pi,True,7,1.6493775844573977,10.281079704935774
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,pi,True,15,1.6313576698303225,11.15148043749578
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,pi,True,10,1.6363089084625244,10.790388776868175
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,pi,True,15,1.616572380065918,12.101709615787032
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,pi,True,7,1.6405243873596191,10.352790481328238
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,pi,True,1,1.6475541591644287,5.211336130307775
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,pi,True,1,1.6903769969940186,4.49738688930448
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,pi,True,5,1.6828067302703855,10.434168511277733
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,pi,True,7,1.7118644714355469,10.376696848148562
deblurred_pmp3_lambda0,0053_lp_dnn_0_knife_10_n03041632_22570,pi,True,0,1.732754468917847,3.2494782161099502
deblurred_pmp3_lambda0,0054_lp_dnn_0_bear_10_n02132136_7586,pi,True,0,1.7188482284545898,2.4289432910497184
deblurred_pmp3_lambda0,0055_lp_dnn_5_clock_10_n04548280_9144,pi,True,5,1.7027602195739746,8.886954446670785
deblurred_pmp3_lambda0,0056_lp_dnn_0_bottle_10_n04591713_2680,pi,True,0,1.6774518489837646,2.078573932109322
deblurred_pmp3_lambda0,0057_lp_dnn_3_cat_10_n02123045_1596,pi,True,3,1.7231714725494385,8.571070080967342
deblurred_pmp3_lambda0,0058_lp_dnn_10_cat_10_n02123597_19450,pi,True,10,1.696934461593628,10.535437498318728
deblurred_pmp3_lambda0,0059_lp_dnn_15_chair_10_n03376595_3462,pi,True,15,1.6531288623809814,12.746670330873284
deblurred_pmp3_lambda0,0060_lp_dnn_3_bottle_10_n04591713_3683,pi,True,3,1.690845012664795,8.793561116160127
deblurred_pmp3_lambda0,0061_lp_dnn_7_clock_10_n03196217_4309,pi,True,7,1.6478450298309326,14.067997045663326
deblurred_pmp3_lambda0,0062_lp_dnn_15_bear_10_n02134084_4923,pi,True,15,1.6289894580841064,11.12789396240396
deblurred_pmp3_lambda0,0063_lp_dnn_1_chair_10_n04429376_5238,pi,True,1,1.6385445594787598,3.438417255811946
deblurred_pmp3_lambda0,0064_lp_dnn_0_clock_10_n03196217_2414,pi,True,0,1.6459457874298096,3.152766313698204
deblurred_pmp3_lambda0,0065_lp_dnn_3_bird_10_n01797886_2711,pi,True,3,1.6490600109100342,10.464158400282177
deblurred_pmp3_lambda0,0066_lp_dnn_15_truck_10_n04467665_68463,pi,True,15,1.6308412551879885,11.560174025427262
deblurred_pmp3_lambda0,0067_lp_dnn_0_truck_10_n03417042_10099,pi,True,0,1.618046522140503,2.903628489837521
deblurred_pmp3_lambda0,0068_lp_dnn_10_bear_10_n02134418_3793,pi,True,10,1.5852930545806885,10.500684389682974
deblurred_pmp3_lambda0,0069_lp_dnn_10_bottle_10_n03937543_9524,pi,True,10,1.5944218635559082,11.158446923595143
deblurred_pmp3_lambda0,0070_lp_dnn_3_cat_10_n02123394_1038,pi,True,3,1.594062089920044,9.384817552828023
deblurred_pmp3_lambda0,0071_lp_dnn_5_dog_10_n02110185_7886,pi,True,5,1.6102735996246338,9.892737550514276
deblurred_pmp3_lambda0,0072_lp_dnn_3_clock_10_n02708093_4912,pi,True,3,1.6442346572875977,10.609665960887472
deblurred_pmp3_lambda0,0073_lp_dnn_15_dog_10_n02108422_932,pi,True,15,1.6241681575775146,11.637215832270764
deblurred_pmp3_lambda0,0074_lp_dnn_0_truck_10_n04467665_18621,pi,True,0,1.6317861080169678,2.566685826022605
deblurred_pmp3_lambda0,0075_lp_dnn_1_truck_10_n04467665_50932,pi,True,1,1.6339788436889648,4.438299603907227
deblurred_pmp3_lambda0,0076_lp_dnn_1_dog_10_n02102480_7293,pi,True,1,1.670156717300415,4.814919697735045
deblurred_pmp3_lambda0,0077_lp_dnn_1_bottle_10_n04591713_4764,pi,True,1,1.66436767578125,6.402849597144969
deblurred_pmp3_lambda0,0078_lp_dnn_15_clock_10_n02708093_274,pi,True,15,1.6286401748657229,11.053883401888974
deblurred_pmp3_lambda0,0079_lp_dnn_5_bottle_10_n04557648_29772,pi,True,5,1.6688494682312012,8.700065993917747
deblurred_pmp3_lambda0,0080_lp_dnn_15_car_10_n03100240_22499,pi,True,15,1.6360712051391602,10.92560609081644
deblurred_pmp3_lambda0,0081_lp_dnn_3_clock_10_n02708093_6252,pi,True,3,1.6783447265625,10.765352312949418
deblurred_pmp3_lambda0,0082_lp_dnn_10_airplane_10_n02690373_5427,pi,True,10,1.6257164478302002,10.49235357064376
deblurred_pmp3_lambda0,0083_lp_dnn_15_dog_10_n02107142_46045,pi,True,15,1.599212884902954,11.25288851895468
deblurred_pmp3_lambda0,0085_lp_dnn_3_bicycle_10_n03792782_12421,pi,True,3,1.627485990524292,12.26477870446995
deblurred_pmp3_lambda0,0086_lp_dnn_0_airplane_10_n02690373_1310,pi,True,0,1.6378774642944336,3.5101510552071526
deblurred_pmp3_lambda0,0087_lp_dnn_15_oven_10_n04111531_8793,pi,True,15,1.602008581161499,11.003768244295252
deblurred_pmp3_lambda0,0088_lp_dnn_5_airplane_10_n02690373_633,pi,True,5,1.637284755706787,10.14001040179227
deblurred_pmp3_lambda0,0089_lp_dnn_5_clock_10_n02708093_2307,pi,True,5,1.6503915786743164,10.106881418671168
deblurred_pmp3_lambda0,0090_lp_dnn_10_oven_10_n04111531_13795,pi,True,10,1.6236441135406494,10.322461818015809
