dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253.png,sseq,True,5,0.042515,58.3504752592312
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320.png,sseq,True,1,0.039501,33.5088141600359
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652.png,sseq,True,3,0.03915,53.4132164669273
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578.png,sseq,True,7,0.039269,60.0617970081215
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842.png,sseq,True,7,0.039516,57.4924190849371
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14.png,sseq,True,1,0.042671,25.4986316092102
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920.png,sseq,True,10,0.039726,61.8284569768489
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952.png,sseq,True,5,0.038964,59.9935784097198
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441.png,sseq,True,3,0.038639,46.0320126026423
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792.png,sseq,True,3,0.03887,47.0529755198494
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458.png,sseq,True,7,0.039191,58.6348538306435
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176.png,sseq,True,10,0.039533,57.1701470848385
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580.png,sseq,True,5,0.043782,53.5021217991357
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900.png,sseq,True,1,0.040538,16.7212284563848
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384.png,sseq,True,7,0.041147,57.8807164939243
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618.png,sseq,True,10,0.040305,61.959844064015
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463.png,sseq,True,15,0.040253,60.5945827618161
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459.png,sseq,True,10,0.040142,59.2692828345968
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206.png,sseq,True,1,0.040662,29.0291800718025
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633.png,sseq,True,7,0.039362,58.5016593191533
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416.png,sseq,True,15,0.03964,70.9006385650504
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503.png,sseq,True,7,0.039488,53.7725523407872
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797.png,sseq,True,5,0.039253,59.2518549060052
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237.png,sseq,True,0,0.040378,23.4564210251246
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587.png,sseq,True,7,0.039571,61.6009688798479
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238.png,sseq,True,10,0.039866,57.6275091903023
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332.png,sseq,True,5,0.04921,61.2534459372115
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244.png,sseq,True,1,0.042644,27.2482523462326
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229.png,sseq,True,7,0.04243,59.1509212904691
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573.png,sseq,True,10,0.040997,63.028611076856
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578.png,sseq,True,3,0.040499,48.8138667970045
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336.png,sseq,True,15,0.040222,65.2067385947415
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495.png,sseq,True,3,0.040545,46.118576723575
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625.png,sseq,True,0,0.041064,35.2885634655791
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107.png,sseq,True,10,0.040083,63.8133162161334
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649.png,sseq,True,0,0.040528,31.7340032953843
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282.png,sseq,True,1,0.041376,38.8715788423595
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534.png,sseq,True,7,0.040607,64.2747123599975
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813.png,sseq,True,15,0.039966,61.4741753324959
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425.png,sseq,True,10,0.040134,59.3083986323862
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427.png,sseq,True,15,0.03971,63.3317505696649
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907.png,sseq,True,7,0.040566,57.7781265604251
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773.png,sseq,True,1,0.039493,51.3235691065438
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188.png,sseq,True,1,0.040165,21.1079830613685
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428.png,sseq,True,5,0.040722,57.5028090634862
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923.png,sseq,True,7,0.041421,58.3891702026283
