dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_nr-flive,False,5,0.0209271907806396,0.6830831170082092
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_nr-flive,False,1,0.0206489562988281,0.7015594840049744
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_nr-flive,False,3,0.020526647567749,0.6334956288337708
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_nr-flive,False,7,0.0209741592407226,0.6677878499031067
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_nr-flive,False,7,0.0209827423095703,0.6378681063652039
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,topiq_nr-flive,False,1,0.020637035369873,0.691469132900238
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_nr-flive,False,10,0.0205843448638916,0.6132778525352478
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,topiq_nr-flive,False,5,0.0205218791961669,0.6199193596839905
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_nr-flive,False,3,0.0208353996276855,0.6231944561004639
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_nr-flive,False,3,0.0220232009887695,0.6172136664390564
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_nr-flive,False,7,0.0204832553863525,0.6205724477767944
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_nr-flive,False,10,0.0205569267272949,0.6485781073570251
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_nr-flive,False,5,0.0204532146453857,0.6497190594673157
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_nr-flive,False,1,0.0205903053283691,0.704746663570404
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_nr-flive,False,7,0.0209488868713378,0.6467318534851074
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_nr-flive,False,10,0.0207843780517578,0.6373702883720398
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_nr-flive,False,15,0.020646333694458,0.6220418214797974
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_nr-flive,False,10,0.0205211639404296,0.6692532300949097
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_nr-flive,False,1,0.0206737518310546,0.697792649269104
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_nr-flive,False,7,0.0178391933441162,0.6418336033821106
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_nr-flive,False,15,0.0319108963012695,0.6287408471107483
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,topiq_nr-flive,False,7,0.0205698013305664,0.6518407464027405
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_nr-flive,False,5,0.0205371379852294,0.6471700668334961
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_nr-flive,False,0,0.0206689834594726,0.638314962387085
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,topiq_nr-flive,False,7,0.0209453105926513,0.6426337361335754
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_nr-flive,False,10,0.0207455158233642,0.6338209509849548
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_nr-flive,False,5,0.0206446647644042,0.6751431226730347
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_nr-flive,False,1,0.020524263381958,0.6985474228858948
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,topiq_nr-flive,False,7,0.0206327438354492,0.623776376247406
