dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_nr-spaq,False,5,0.013400077819824219,0.34781360626220703
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_nr-spaq,False,1,0.012634992599487305,0.633919894695282
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_nr-spaq,False,3,0.012502670288085938,0.37878891825675964
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_nr-spaq,False,7,0.01235055923461914,0.32381269335746765
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_nr-spaq,False,7,0.012298822402954102,0.2763703763484955
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,topiq_nr-spaq,False,1,0.012577533721923828,0.6400789022445679
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_nr-spaq,False,10,0.01239466667175293,0.2281566560268402
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,topiq_nr-spaq,False,5,0.012366294860839844,0.28073373436927795
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_nr-spaq,False,3,0.012425422668457031,0.37148627638816833
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_nr-spaq,False,3,0.01233983039855957,0.4348481595516205
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_nr-spaq,False,7,0.012251615524291992,0.2500067949295044
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_nr-spaq,False,10,0.012231588363647461,0.24784551560878754
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_nr-spaq,False,5,0.012326717376708984,0.3056281507015228
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_nr-spaq,False,1,0.012498140335083008,0.6701756715774536
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_nr-spaq,False,7,0.012276887893676758,0.3217746317386627
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_nr-spaq,False,10,0.01222681999206543,0.24810214340686798
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_nr-spaq,False,15,0.01229405403137207,0.16200077533721924
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_nr-spaq,False,10,0.012282133102416992,0.18540099263191223
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_nr-spaq,False,1,0.012470722198486328,0.6292442679405212
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_nr-spaq,False,7,0.012307167053222656,0.24319662153720856
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_nr-spaq,False,15,0.012099504470825195,0.20916546881198883
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,topiq_nr-spaq,False,7,0.012238025665283203,0.30655208230018616
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_nr-spaq,False,5,0.012316703796386719,0.2907979190349579
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_nr-spaq,False,0,0.012903451919555664,0.7567904591560364
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,topiq_nr-spaq,False,7,0.012326717376708984,0.24941973388195038
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_nr-spaq,False,10,0.012290000915527344,0.22406885027885437
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_nr-spaq,False,5,0.012298583984375,0.319431871175766
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_nr-spaq,False,1,0.01248311996459961,0.6235852837562561
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,topiq_nr-spaq,False,7,0.012318134307861328,0.26101669669151306
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,topiq_nr-spaq,False,10,0.012242317199707031,0.22253073751926422
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,topiq_nr-spaq,False,3,0.012294530868530273,0.45319288969039917
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,topiq_nr-spaq,False,15,0.012261629104614258,0.1610996127128601
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,topiq_nr-spaq,False,3,0.012350082397460938,0.33969739079475403
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,topiq_nr-spaq,False,0,0.012833356857299805,0.5836161375045776
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,topiq_nr-spaq,False,10,0.012380599975585938,0.2243097573518753
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,topiq_nr-spaq,False,0,0.01291036605834961,0.4384438693523407
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,topiq_nr-spaq,False,1,0.012398481369018555,0.6169044971466064
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,topiq_nr-spaq,False,7,0.012290000915527344,0.27771249413490295
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,topiq_nr-spaq,False,15,0.012310504913330078,0.2023201286792755
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,topiq_nr-spaq,False,10,0.01228022575378418,0.21023812890052795
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,topiq_nr-spaq,False,15,0.012155771255493164,0.18719041347503662
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,topiq_nr-spaq,False,7,0.012298345565795898,0.2643199563026428
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,topiq_nr-spaq,False,1,0.012449264526367188,0.6522576212882996
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,topiq_nr-spaq,False,1,0.012669801712036133,0.6919698715209961
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,topiq_nr-spaq,False,5,0.012378931045532227,0.3127598762512207
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,topiq_nr-spaq,False,7,0.01234292984008789,0.28222599625587463
deblurred_pmp3_lambda0,0053_lp_dnn_0_knife_10_n03041632_22570,topiq_nr-spaq,False,0,0.01288151741027832,0.6873393654823303
deblurred_pmp3_lambda0,0054_lp_dnn_0_bear_10_n02132136_7586,topiq_nr-spaq,False,0,0.01302194595336914,0.7521571516990662
deblurred_pmp3_lambda0,0055_lp_dnn_5_clock_10_n04548280_9144,topiq_nr-spaq,False,5,0.012290239334106445,0.3253748118877411
deblurred_pmp3_lambda0,0056_lp_dnn_0_bottle_10_n04591713_2680,topiq_nr-spaq,False,0,0.01288604736328125,0.6861874461174011
deblurred_pmp3_lambda0,0057_lp_dnn_3_cat_10_n02123045_1596,topiq_nr-spaq,False,3,0.01236867904663086,0.3679609000682831
deblurred_pmp3_lambda0,0058_lp_dnn_10_cat_10_n02123597_19450,topiq_nr-spaq,False,10,0.012277603149414062,0.20796145498752594
deblurred_pmp3_lambda0,0059_lp_dnn_15_chair_10_n03376595_3462,topiq_nr-spaq,False,15,0.012193441390991211,0.2849455773830414
deblurred_pmp3_lambda0,0060_lp_dnn_3_bottle_10_n04591713_3683,topiq_nr-spaq,False,3,0.012353181838989258,0.38442695140838623
deblurred_pmp3_lambda0,0061_lp_dnn_7_clock_10_n03196217_4309,topiq_nr-spaq,False,7,0.012187719345092773,0.22125840187072754
deblurred_pmp3_lambda0,0062_lp_dnn_15_bear_10_n02134084_4923,topiq_nr-spaq,False,15,0.012227296829223633,0.18620875477790833
deblurred_pmp3_lambda0,0063_lp_dnn_1_chair_10_n04429376_5238,topiq_nr-spaq,False,1,0.012515544891357422,0.65694659948349
deblurred_pmp3_lambda0,0064_lp_dnn_0_clock_10_n03196217_2414,topiq_nr-spaq,False,0,0.012876510620117188,0.6375290751457214
deblurred_pmp3_lambda0,0065_lp_dnn_3_bird_10_n01797886_2711,topiq_nr-spaq,False,3,0.01245427131652832,0.39776214957237244
deblurred_pmp3_lambda0,0066_lp_dnn_15_truck_10_n04467665_68463,topiq_nr-spaq,False,15,0.012158393859863281,0.15771399438381195
deblurred_pmp3_lambda0,0067_lp_dnn_0_truck_10_n03417042_10099,topiq_nr-spaq,False,0,0.012869834899902344,0.6837558150291443
