dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_nr,False,5,0.013696908950805664,0.10593486577272415
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_nr,False,1,0.012802362442016602,0.5269821882247925
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_nr,False,3,0.01248478889465332,0.15491890907287598
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_nr,False,7,0.012403488159179688,0.1960466504096985
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_nr,False,7,0.012314796447753906,0.15844157338142395
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,topiq_nr,False,1,0.012497901916503906,0.5056891441345215
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_nr,False,10,0.012280464172363281,0.12637567520141602
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,topiq_nr,False,5,0.012438297271728516,0.17131257057189941
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_nr,False,3,0.012431144714355469,0.17621204257011414
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_nr,False,3,0.012424945831298828,0.13266050815582275
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_nr,False,7,0.012258529663085938,0.21037402749061584
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_nr,False,10,0.01228785514831543,0.19367560744285583
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_nr,False,5,0.012493610382080078,0.09178202599287033
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_nr,False,1,0.012519598007202148,0.4969619810581207
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_nr,False,7,0.012323856353759766,0.1463862657546997
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_nr,False,10,0.012296915054321289,0.09421136975288391
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_nr,False,15,0.012330770492553711,0.1598806083202362
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_nr,False,10,0.012281417846679688,0.08215067535638809
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_nr,False,1,0.012470245361328125,0.4283122718334198
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_nr,False,7,0.012322664260864258,0.0831134095788002
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_nr,False,15,0.01205587387084961,0.19715598225593567
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,topiq_nr,False,7,0.012253522872924805,0.14391517639160156
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_nr,False,5,0.012331008911132812,0.08722522854804993
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_nr,False,0,0.012914657592773438,0.4525848925113678
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,topiq_nr,False,7,0.012376546859741211,0.10866070538759232
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_nr,False,10,0.012317419052124023,0.16400498151779175
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_nr,False,5,0.012229442596435547,0.1310425102710724
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_nr,False,1,0.012478113174438477,0.49127426743507385
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,topiq_nr,False,7,0.012269258499145508,0.16579937934875488
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,topiq_nr,False,10,0.012307882308959961,0.1561926305294037
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,topiq_nr,False,3,0.012261390686035156,0.2243860960006714
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,topiq_nr,False,15,0.012226104736328125,0.12716048955917358
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,topiq_nr,False,3,0.012278318405151367,0.18513938784599304
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,topiq_nr,False,0,0.01277613639831543,0.5414173007011414
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,topiq_nr,False,10,0.01234126091003418,0.09366194158792496
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,topiq_nr,False,0,0.012892007827758789,0.22505304217338562
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,topiq_nr,False,1,0.012464761734008789,0.6836230754852295
