dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,tres,False,5,0.362684965133667,24.160839080810547
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,tres,False,1,0.3361721038818359,62.1406478881836
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,tres,False,3,0.345729112625122,27.09503936767578
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,tres,False,7,0.3371522426605224,23.21841812133789
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,tres,False,7,0.3450636863708496,22.98495101928711
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,tres,False,1,0.3422329425811767,54.59545135498047
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,tres,False,10,0.3289237022399902,17.235013961791992
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,tres,False,5,0.3457369804382324,25.32692146301269
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,tres,False,3,0.3357088565826416,46.11829376220703
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,tres,False,3,0.3426084518432617,35.63288497924805
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,tres,False,7,0.340463638305664,30.82694435119629
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,tres,False,10,0.3541984558105469,23.41227531433105
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,tres,False,5,0.3455708026885986,30.354310989379883
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,tres,False,1,0.3349735736846924,59.97358703613281
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,tres,False,7,0.3453481197357178,22.573787689208984
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,tres,False,10,0.3349709510803222,20.21706199645996
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,tres,False,15,0.3451762199401855,27.071821212768555
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,tres,False,10,0.3423051834106445,15.558271408081056
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,tres,False,1,0.337111234664917,53.46656036376953
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,tres,False,7,0.3423244953155517,24.035924911499023
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,tres,False,15,0.3358557224273681,25.258304595947266
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,tres,False,7,0.342332124710083,34.29987335205078
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,tres,False,5,0.3424859046936035,33.32569885253906
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,tres,False,0,0.3357195854187011,64.33594512939453
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,tres,False,7,0.3426074981689453,21.39213180541992
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,tres,False,10,0.3363239765167236,22.615591049194336
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,tres,False,5,0.3425741195678711,36.70518493652344
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,tres,False,1,0.3424286842346191,57.59626007080078
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,tres,False,7,0.3356761932373047,29.31295394897461
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,tres,False,10,0.3455259799957275,21.280441284179688
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,tres,False,3,0.3354425430297851,36.66632843017578
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,tres,False,15,0.3416483402252197,16.9508056640625
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,tres,False,3,0.342113733291626,33.98735427856445
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,tres,False,0,0.3364119529724121,72.5128173828125
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,tres,False,10,0.3456435203552246,21.331483840942383
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,tres,False,0,0.3350117206573486,52.01258087158203
